,y,y_hat,dummy
2016-01-01,127.0,133.59046785945694,219.9484919702311
2016-01-02,129.0,128.80753517290802,219.93029175641277
2016-01-03,148.0,126.32451398649143,219.91249021143304
2016-01-04,134.0,133.28569103949437,219.8984145625367
2016-01-05,154.0,134.84588648268394,219.88160469667318
2016-01-06,145.0,133.9072415209932,219.86871453727255
2016-01-07,165.0,134.71398991408134,219.85406885759
2016-01-08,161.0,136.2237257912528,219.8433405045961
2016-01-09,128.0,141.33857993905983,219.8318341806805
2016-01-10,117.0,143.52473482996305,219.813880742913
2016-01-11,117.0,136.93510100004158,219.79378420641126
2016-01-12,116.0,139.58333869860732,219.77369552472152
2016-01-13,141.0,131.23195893962946,219.7534193044158
2016-01-14,151.0,136.19034148229602,219.73803477241648
2016-01-15,168.0,143.66858857313235,219.724609375
2016-01-16,132.0,137.829697680037,219.7145088849834
2016-01-17,96.0,143.87632891278335,219.69738383443968
2016-01-18,114.0,139.0745596033493,219.67323833691196
2016-01-19,138.0,136.9580493208587,219.65261514441843
2016-01-20,160.0,133.33973957837958,219.63668292682928
2016-01-21,154.0,147.14593802167934,219.62504877097152
2016-01-22,175.0,141.0529962136926,219.61224887848644
2016-01-23,176.0,139.3153795242389,219.6035491419657
2016-01-24,140.0,137.23824461886323,219.59504776759601
2016-01-25,164.0,138.69707257257784,219.5795321637427
2016-01-26,123.0,143.24316963354886,219.56870005846812
2016-01-27,153.0,144.27213996188354,219.549883086516
2016-01-28,164.0,139.01402034623837,219.5369179816871
2016-01-29,171.0,140.9383495823231,219.52610050642772
2016-01-30,167.0,139.9852337415374,219.51665043816942
2016-01-31,130.0,136.82851581324962,219.50642523364485
2016-02-01,157.0,138.76860682019486,219.48900136266303
2016-02-02,124.0,132.49489674161242,219.47683923705722
2016-02-03,143.0,142.00684435224275,219.45826036193813
2016-02-04,130.0,138.02960798262072,219.44338521400778
2016-02-05,149.0,140.81198961477594,219.42598716203074
2016-02-06,142.0,129.81687880778375,219.41229093737846
2016-02-07,130.0,129.93759276367203,219.39723896558428
2016-02-08,133.0,134.4537430433705,219.3798600311042
2016-02-09,130.0,128.47638594527552,219.36307094266277
2016-02-10,101.0,128.0935417411842,219.34570540225417
2016-02-11,137.0,128.44033937214078,219.32271225956868
2016-02-12,147.0,128.5937519225212,219.30672105672105
2016-02-13,136.0,134.03688317342025,219.2926781899398
2016-02-14,89.0,132.46878973134207,219.27650485436894
2016-02-15,108.0,128.68000186587955,219.2512133566298
2016-02-16,148.0,128.2173388447465,219.2296195652174
2016-02-17,123.0,129.00168709063436,219.2157966233262
2016-02-18,174.0,131.7650483731805,219.19712844392706
2016-02-19,181.0,133.06617618050157,219.18836081474296
2016-02-20,126.0,135.98212463557306,219.18095422808378
2016-02-21,137.0,133.3125635747913,219.1628853984875
2016-02-22,135.0,132.59173943148443,219.14695618456767
2016-02-23,143.0,137.64329338988273,219.13064547392906
2016-02-24,129.0,133.95406786170562,219.1158914728682
2016-02-25,145.0,135.02138634815762,219.0984305367177
2016-02-26,162.0,135.0146973991201,219.08407593955832
2016-02-27,152.0,132.16643282005685,219.07301956227
2016-02-28,121.0,133.99027429215568,219.06003098373353
2016-02-29,151.0,137.69768452872722,219.04104549854793
2016-03-01,167.0,133.45177691491307,219.02787456445992
2016-03-02,138.0,139.69223851957776,219.0178053028837
2016-03-03,139.0,141.02199698991393,219.00212848297213
2016-03-04,144.0,145.7464458009385,218.98665118978525
2016-03-05,162.0,136.63300490326716,218.97214700193425
2016-03-06,141.0,136.06117559066251,218.9611293753626
2016-03-07,165.0,142.4257497240215,218.94605568445476
2016-03-08,158.0,144.79637940395645,218.93562729557317
2016-03-09,124.0,144.8458931490423,218.9238500193274
2016-03-10,149.0,144.12598360652075,218.9055072463768
2016-03-11,163.0,145.455176748648,218.89200154559506
2016-03-12,164.0,141.48361978901497,218.88120533127295
2016-03-13,135.0,141.78387533801745,218.870606411742
2016-03-14,140.0,145.691140283784,218.85441204865805
2016-03-15,156.0,147.69034893957414,218.8391891891892
2016-03-16,142.0,141.2744580152334,218.82706041304766
2016-03-17,169.0,148.6244313710323,218.81223465843303
2016-03-18,158.0,147.5200074893076,218.8026239629558
2016-03-19,146.0,143.46041787223146,218.7908950617284
2016-03-20,134.0,142.17431720884596,218.776856316297
2016-03-21,126.0,150.21222444297902,218.76050906286156
2016-03-22,147.0,145.3794386921477,218.74262579525737
2016-03-23,154.0,137.6008994754209,218.72879722436392
2016-03-24,130.0,142.77927400537558,218.7163229909424
2016-03-25,167.0,146.1393336879435,218.69922928709056
2016-03-26,148.0,138.10122837398572,218.68926989019457
2016-03-27,125.0,136.59189614196248,218.67565485362096
2016-03-28,149.0,142.68066858512955,218.6576160215675
2016-03-29,150.0,142.94660364628996,218.64420485175202
2016-03-30,179.0,148.07815828829635,218.63099133782484
2016-03-31,164.0,144.56186481630542,218.62336412625098
2016-04-01,178.0,151.67036586166918,218.61285356936693
2016-04-02,145.0,140.34478099450797,218.6050404001539
2016-04-03,168.0,138.34273288188714,218.59088286208888
2016-04-04,152.0,152.22272371477487,218.58115384615385
2016-04-05,147.0,150.08696232576452,218.56835223995387
2016-04-06,148.0,157.1827222248066,218.5545943867743
2016-04-07,149.0,150.52978895243646,218.5410340188353
2016-04-08,150.0,158.02441246510725,218.52767102229055
2016-04-09,160.0,150.5219264500875,218.51450528338137
2016-04-10,144.0,145.83589593533634,218.5032654629274
2016-04-11,135.0,153.60434815069127,218.48895717303628
2016-04-12,155.0,150.61795670601717,218.4729262672811
2016-04-13,122.0,148.7971253507258,218.4607410251488
2016-04-14,150.0,147.83604465938296,218.44222648752398
2016-04-15,197.0,143.37669465567953,218.42909230473998
2016-04-16,154.0,150.81868564540054,218.4249808135073
2016-04-17,138.0,146.56195961489786,218.41262229042778
2016-04-18,167.0,149.6360976033248,218.39719984656693
2016-04-19,170.0,149.8381512218753,218.38734419942475
2016-04-20,149.0,149.0738059323329,218.37806748466258
2016-04-21,153.0,150.46806134591722,218.3647690243435
2016-04-22,164.0,160.80884048466234,218.35224223840552
2016-04-23,134.0,152.08313963833228,218.3418279363863
2016-04-24,151.0,143.76252744800493,218.3256704980843
2016-04-25,160.0,149.52798069526045,218.31277533039648
2016-04-26,138.0,150.4170097433452,218.30160857908848
2016-04-27,132.0,151.02124819947852,218.28623396515414
