,y,y_dummy,y_hat
2016-01-01,127.0,202.81213237254633,127.30850145393862
2016-01-02,129.0,202.782442874848,127.90971015281544
2016-01-03,148.0,202.75355389956425,124.36865467524945
2016-01-04,134.0,202.73211974262563,128.62938324607376
2016-01-05,154.0,202.70521871728607,136.65144175962683
2016-01-06,145.0,202.68615973911454,136.86310354383673
2016-01-07,165.0,202.66359081902883,132.7086826893554
2016-01-08,161.0,202.6488583367996,134.27897215190617
2016-01-09,128.0,202.63257016380905,141.7100078926958
2016-01-10,117.0,202.60338831819269,143.29735791639743
2016-01-11,117.0,202.5699233501246,133.84668373693842
2016-01-12,116.0,202.53647800193227,139.19968728917777
2016-01-13,141.0,202.50266148063412,127.44742391256867
2016-01-14,151.0,202.47863231029595,137.13831221692388
2016-01-15,168.0,202.45852346954973,149.87229986680623
2016-01-16,132.0,202.44506573728276,141.01362602536037
2016-01-17,96.0,202.41755887834591,145.6986568723335
2016-01-18,114.0,202.37601386219194,140.6326878976339
2016-01-19,138.0,202.34151893094207,137.9354445614763
2016-01-20,160.0,202.31641004550562,135.1338057038866
2016-01-21,154.0,202.2998995460731,146.79094186330497
2016-01-22,175.0,202.28105815752383,142.1420868920327
2016-01-23,176.0,202.27041811924087,140.23169984430498
2016-01-24,140.0,202.260174243975,137.06938248897006
2016-01-25,164.0,202.2359012715602,136.84952394319666
2016-01-26,123.0,202.2209973926783,141.21843578445345
2016-01-27,153.0,202.19012404996877,143.27349805425666
2016-01-28,164.0,202.1709578220124,138.49912667307086
2016-01-29,171.0,202.15608795141563,141.7729808027122
2016-01-30,167.0,202.14395315571886,140.1078441902859
2016-01-31,130.0,202.13026781570494,137.04300671969224
2016-02-01,157.0,202.10218517298907,138.9749319526306
2016-02-02,124.0,202.08462885334214,132.50373725701368
2016-02-03,143.0,202.0542398170108,140.59162640388453
2016-02-04,130.0,202.03126151358006,137.41901837740403
2016-02-05,149.0,202.00323923716942,140.66812977739852
2016-02-06,142.0,201.98262343038715,131.2039301100321
2016-02-07,130.0,201.9592975025511,131.33615731207766
2016-02-08,133.0,201.93131954862318,130.89785052398565
2016-02-09,130.0,201.9045240891291,127.35630340291551
2016-02-10,101.0,201.8765782966343,129.5347736920879
2016-02-11,137.0,201.8373800925167,127.94424952181664
2016-02-12,147.0,201.8121907451614,129.11973914940432
2016-02-13,136.0,201.79090032343092,132.275556328463
2016-02-14,89.0,201.76535045922765,134.0440443103136
2016-02-15,108.0,201.7215665918391,128.2269388292996
2016-02-16,148.0,201.6851839961124,127.60735704889717
2016-02-17,123.0,201.6643475187221,128.15232335457557
2016-02-18,174.0,201.63382196671643,131.31368773780395
2016-02-19,181.0,201.6231007942754,133.6268288782859
2016-02-20,126.0,201.61510114307512,137.40127695928038
2016-02-21,137.0,201.58577591478618,133.86873281690006
2016-02-22,135.0,201.5607329617366,132.75589111690792
2016-02-23,143.0,201.5349292273068,138.31146810477506
2016-02-24,129.0,201.51224127024196,133.51550700034318
2016-02-25,145.0,201.4841411961206,135.61346506687232
2016-02-26,162.0,201.46225660053898,135.2213324651896
2016-02-27,152.0,201.44697003977953,133.43577422201568
2016-02-28,121.0,201.42781939297868,132.69298039247573
2016-02-29,151.0,201.39667599727957,138.6712063395643
2016-03-01,167.0,201.37716508903438,134.2166590440106
2016-03-02,138.0,201.36385865780196,140.58860744933116
2016-03-03,139.0,201.33933704067428,142.29574317753017
2016-03-04,144.0,201.31521657751287,144.57346930911254
2016-03-05,162.0,201.29304434672855,138.06301904707092
2016-03-06,141.0,201.2778468822742,137.5332064770266
2016-03-07,165.0,201.25453758340242,144.19913085231136
2016-03-08,158.0,201.24052075077793,145.4427064079511
2016-03-09,124.0,201.22380620854727,145.57104097790625
2016-03-10,149.0,201.19396125928787,144.4697575236008
2016-03-11,163.0,201.17379357719386,145.35602480354308
2016-03-12,164.0,201.15904611975628,142.97821556396642
2016-03-13,135.0,201.14469345613338,141.77386396141898
2016-03-14,140.0,201.11915003328875,145.82484168584816
2016-03-15,156.0,201.09555190586278,145.01756878518782
2016-03-16,142.0,201.0781438564878,144.10620082613838
2016-03-17,169.0,201.05534256592182,147.4044000012437
2016-03-18,158.0,201.0429731495352,148.55412814021338
2016-03-19,146.0,201.02636706421518,141.3950466734652
2016-03-20,134.0,201.00514185030417,140.2202566319088
2016-03-21,126.0,200.97930107057016,147.57859573432685
2016-03-22,147.0,200.9503906016785,146.49685631340105
2016-03-23,154.0,200.92959245572564,139.74193065909594
2016-03-24,130.0,200.91150434917114,143.67446939175554
2016-03-25,167.0,200.8841781432562,146.5259851259349
2016-03-26,148.0,200.87112317190454,138.6643458564247
2016-03-27,125.0,200.850756791638,135.04852620417756
2016-03-28,149.0,200.82154409886252,143.68781720956446
2016-03-29,150.0,200.80158971145437,140.78563816925742
2016-03-30,179.0,200.7820318328359,146.4440658175639
2016-03-31,164.0,200.77364767893565,143.30667894919935
2016-04-01,178.0,200.75949580374655,151.49419466610541
2016-04-02,145.0,200.75073878342963,143.52034922526198
2016-04-03,168.0,200.72929206722134,137.3323971224199
2016-04-04,152.0,200.71670387796468,149.40983596934493
2016-04-05,147.0,200.69797028677917,147.15051132624401
2016-04-06,148.0,200.677325161717,157.6017391178724
2016-04-07,149.0,200.65707633405532,152.82863710132472
2016-04-08,150.0,200.63722349918444,156.3675595626097
2016-04-09,160.0,200.61776635278707,150.46187425452356
2016-04-10,144.0,200.6021621398202,145.9297544183857
2016-04-11,135.0,200.58042134391476,153.1684739332786
2016-04-12,155.0,200.5552368503111,151.29538840780003
2016-04-13,122.0,200.53774587820502,149.59168144993046
2016-04-14,150.0,200.50759703141875,148.23269910135002
2016-04-15,197.0,200.48821203927469,147.7360972709931
2016-04-16,154.0,200.48687350817747,147.13416132787046
2016-04-17,138.0,200.4690385288918,147.18691926616174
2016-04-18,167.0,200.4450764887963,149.8799911426924
2016-04-19,170.0,200.43224999733366,150.73114650278927
2016-04-20,149.0,200.42058118981933,148.3501765291502
2016-04-21,153.0,200.40086848857734,150.09547250601128
2016-04-22,164.0,200.3827002752816,160.5900791485676
2016-04-23,134.0,200.36875787241698,150.28565639150747
2016-04-24,151.0,200.34332922955397,143.91336641459958
2016-04-25,160.0,200.32442736047543,148.6591744880909
2016-04-26,138.0,200.3089833055691,148.5459520590379
2016-04-27,132.0,200.28512384422288,149.97123103579082
2016-04-28,156.0,200.2589809943591,144.98578992425044
2016-04-29,157.0,200.24203975761483,157.31795513956354
2016-04-30,143.0,200.22549094791043,143.60023815733564
2016-05-01,161.0,200.2035948350549,149.72656817145088
2016-05-02,173.0,200.1885972853858,148.94599007604444
2016-05-03,155.0,200.17819812788517,151.26593143184763
2016-05-04,121.0,200.16092157028368,150.48785599083888
2016-05-05,175.0,200.1306554943631,155.64993729267235
2016-05-06,177.0,200.1210489746787,155.17337496252452
2016-05-07,167.0,200.112212342164,147.0531414796703
2016-05-08,123.0,200.09955960531184,153.73097617495776
2016-05-09,146.0,200.0701041861694,154.4425620003798
2016-05-10,134.0,200.04945097601427,149.67757783787903
2016-05-11,174.0,200.0242268205909,149.79128063793596
2016-05-12,160.0,200.01429011695575,156.94528668879346
2016-05-13,185.0,199.99901457195978,159.75649636540297
2016-05-14,161.0,199.99328975723762,153.14407483189558
2016-05-15,157.0,199.97840966192862,146.30763553492062
2016-05-16,163.0,199.96201194744486,152.52843339335746
2016-05-17,143.0,199.9479123815675,151.4098356982448
2016-05-18,175.0,199.92619311673855,152.3636638473064
