,y,y_hat
2016-01-01,127.0,128.63333673916244
2016-01-02,129.0,128.64088948937476
2016-01-03,148.0,126.08236474408258
2016-01-04,134.0,129.3412743981446
2016-01-05,154.0,135.60407149098083
2016-01-06,145.0,136.95182494086635
2016-01-07,165.0,136.3303318190867
2016-01-08,161.0,137.79900260754303
2016-01-09,128.0,143.52929992994896
2016-01-10,117.0,142.8240822231103
2016-01-11,117.0,134.7853076652156
2016-01-12,116.0,139.90961855780265
2016-01-13,141.0,126.89836284907284
2016-01-14,151.0,138.2586307495878
2016-01-15,168.0,146.173853538112
2016-01-16,132.0,139.9242495399889
2016-01-17,96.0,145.02270308518177
2016-01-18,114.0,142.0448970127875
2016-01-19,138.0,138.6693657241228
2016-01-20,160.0,133.382451181749
2016-01-21,154.0,147.54794932820272
2016-01-22,175.0,144.08494556089144
2016-01-23,176.0,139.9839748139725
2016-01-24,140.0,138.61302150356263
2016-01-25,164.0,139.57595157268733
2016-01-26,123.0,143.86349797844065
2016-01-27,153.0,142.6011780179541
2016-01-28,164.0,136.68355236222092
2016-01-29,171.0,141.46441921281308
2016-01-30,167.0,139.83307409445806
2016-01-31,130.0,135.9667297765849
2016-02-01,157.0,140.99599520487217
2016-02-02,124.0,131.29031363786268
2016-02-03,143.0,140.649244072773
2016-02-04,130.0,138.42674655012013
2016-02-05,149.0,142.20165002392702
2016-02-06,142.0,131.8201415004222
2016-02-07,130.0,133.4761985061129
2016-02-08,133.0,131.68219217160436
2016-02-09,130.0,128.01783027201787
2016-02-10,101.0,128.930917459888
2016-02-11,137.0,126.79092090065551
2016-02-12,147.0,130.20942413183135
2016-02-13,136.0,132.86929013536096
2016-02-14,89.0,132.6441394059962
2016-02-15,108.0,128.10730461738348
2016-02-16,148.0,126.3638015417045
2016-02-17,123.0,129.91451041334545
2016-02-18,174.0,130.5394463848302
2016-02-19,181.0,132.96982023785083
2016-02-20,126.0,136.0798461628496
2016-02-21,137.0,135.30533106393383
2016-02-22,135.0,132.3061912045799
2016-02-23,143.0,137.2030560099101
2016-02-24,129.0,130.92671189318105
2016-02-25,145.0,133.32957507295302
2016-02-26,162.0,136.07923465807198
2016-02-27,152.0,132.4991688458975
