,y,y_hat
2016-01-01,127.0,133.59046785945694
2016-01-02,129.0,128.80753517290802
2016-01-03,148.0,126.32451398649143
2016-01-04,134.0,133.28569103949437
2016-01-05,154.0,134.84588648268394
2016-01-06,145.0,133.9072415209932
2016-01-07,165.0,134.71398991408134
2016-01-08,161.0,136.2237257912528
2016-01-09,128.0,141.33857993905983
2016-01-10,117.0,143.52473482996305
2016-01-11,117.0,136.93510100004158
2016-01-12,116.0,139.58333869860732
2016-01-13,141.0,131.23195893962946
2016-01-14,151.0,136.19034148229602
2016-01-15,168.0,143.66858857313235
2016-01-16,132.0,137.829697680037
2016-01-17,96.0,143.87632891278335
2016-01-18,114.0,139.0745596033493
2016-01-19,138.0,136.9580493208587
2016-01-20,160.0,133.33973957837958
2016-01-21,154.0,147.14593802167934
2016-01-22,175.0,141.0529962136926
2016-01-23,176.0,139.3153795242389
2016-01-24,140.0,137.23824461886323
2016-01-25,164.0,138.69707257257784
2016-01-26,123.0,143.24316963354886
2016-01-27,153.0,144.27213996188354
2016-01-28,164.0,139.01402034623837
2016-01-29,171.0,140.9383495823231
2016-01-30,167.0,139.9852337415374
2016-01-31,130.0,136.82851581324962
2016-02-01,157.0,138.76860682019486
2016-02-02,124.0,132.49489674161242
2016-02-03,143.0,142.00684435224275
2016-02-04,130.0,138.02960798262072
2016-02-05,149.0,140.81198961477594
2016-02-06,142.0,129.81687880778375
2016-02-07,130.0,129.93759276367203
2016-02-08,133.0,134.4537430433705
2016-02-09,130.0,128.47638594527552
2016-02-10,101.0,128.0935417411842
2016-02-11,137.0,128.44033937214078
2016-02-12,147.0,128.5937519225212
2016-02-13,136.0,134.03688317342025
2016-02-14,89.0,132.46878973134207
2016-02-15,108.0,128.68000186587955
2016-02-16,148.0,128.2173388447465
2016-02-17,123.0,129.00168709063436
2016-02-18,174.0,131.7650483731805
2016-02-19,181.0,133.06617618050157
2016-02-20,126.0,135.98212463557306
2016-02-21,137.0,133.3125635747913
2016-02-22,135.0,132.59173943148443
2016-02-23,143.0,137.64329338988273
2016-02-24,129.0,133.95406786170562
2016-02-25,145.0,135.02138634815762
2016-02-26,162.0,135.0146973991201
2016-02-27,152.0,132.16643282005685
2016-02-28,121.0,133.99027429215568
2016-02-29,151.0,137.69768452872722
2016-03-01,167.0,133.45177691491307
2016-03-02,138.0,139.69223851957776
2016-03-03,139.0,141.02199698991393
2016-03-04,144.0,145.7464458009385
2016-03-05,162.0,136.63300490326716
2016-03-06,141.0,136.06117559066251
2016-03-07,165.0,142.4257497240215
2016-03-08,158.0,144.79637940395645
2016-03-09,124.0,144.8458931490423
2016-03-10,149.0,144.12598360652075
2016-03-11,163.0,145.455176748648
2016-03-12,164.0,141.48361978901497
2016-03-13,135.0,141.78387533801745
2016-03-14,140.0,145.691140283784
2016-03-15,156.0,147.69034893957414
2016-03-16,142.0,141.2744580152334
2016-03-17,169.0,148.6244313710323
2016-03-18,158.0,147.5200074893076
2016-03-19,146.0,143.46041787223146
2016-03-20,134.0,142.17431720884596
2016-03-21,126.0,150.21222444297902
2016-03-22,147.0,145.3794386921477
2016-03-23,154.0,137.6008994754209
2016-03-24,130.0,142.77927400537558
2016-03-25,167.0,146.1393336879435
2016-03-26,148.0,138.10122837398572
2016-03-27,125.0,136.59189614196248
2016-03-28,149.0,142.68066858512955
2016-03-29,150.0,142.94660364628996
2016-03-30,179.0,148.07815828829635
2016-03-31,164.0,144.56186481630542
2016-04-01,178.0,151.67036586166918
2016-04-02,145.0,140.34478099450797
2016-04-03,168.0,138.34273288188714
2016-04-04,152.0,152.22272371477487
2016-04-05,147.0,150.08696232576452
2016-04-06,148.0,157.1827222248066
2016-04-07,149.0,150.52978895243646
2016-04-08,150.0,158.02441246510725
2016-04-09,160.0,150.5219264500875
2016-04-10,144.0,145.83589593533634
2016-04-11,135.0,153.60434815069127
2016-04-12,155.0,150.61795670601717
2016-04-13,122.0,148.7971253507258
2016-04-14,150.0,147.83604465938296
2016-04-15,197.0,143.37669465567953
2016-04-16,154.0,150.81868564540054
2016-04-17,138.0,146.56195961489786
2016-04-18,167.0,149.6360976033248
2016-04-19,170.0,149.8381512218753
2016-04-20,149.0,149.0738059323329
2016-04-21,153.0,150.46806134591722
2016-04-22,164.0,160.80884048466234
2016-04-23,134.0,152.08313963833228
2016-04-24,151.0,143.76252744800493
2016-04-25,160.0,149.52798069526045
2016-04-26,138.0,150.4170097433452
2016-04-27,132.0,151.02124819947852
2016-04-28,156.0,146.75008345838813
2016-04-29,157.0,153.28700838385578
2016-04-30,143.0,145.28640513614306
2016-05-01,161.0,150.39646388236275
2016-05-02,173.0,148.48449129724193
2016-05-03,155.0,147.88009542960324
2016-05-04,121.0,152.01151138777925
2016-05-05,175.0,154.40252510781633
2016-05-06,177.0,157.915940647296
2016-05-07,167.0,146.99369085485236
2016-05-08,123.0,151.73011457082254
2016-05-09,146.0,157.6184948570143
2016-05-10,134.0,151.79119708089743
2016-05-11,174.0,148.6299901790755
2016-05-12,160.0,156.3441773720495
2016-05-13,185.0,159.8477909588808
2016-05-14,161.0,153.30574045272687
2016-05-15,157.0,146.9873280665376
2016-05-16,163.0,152.91890102284742
2016-05-17,143.0,150.34642767219754
2016-05-18,175.0,151.70183348129066
2016-05-19,156.0,158.18837308221123
2016-05-20,168.0,167.6052236030884
2016-05-21,165.0,155.0176693736524
2016-05-22,171.0,148.97369521689927
2016-05-23,174.0,154.63048192919283
2016-05-24,167.0,151.26442191983273
2016-05-25,149.0,156.28925116280277
2016-05-26,170.0,158.90767355124464
2016-05-27,184.0,163.8245552246138
2016-05-28,188.0,156.01528974293853
2016-05-29,141.0,150.88370662533416
2016-05-30,168.0,158.53926598402364
2016-05-31,153.0,158.33828772784602
2016-06-01,178.0,157.49477483465458
2016-06-02,178.0,157.63456949704303
2016-06-03,176.0,170.1938229914076
2016-06-04,162.0,158.21750035268897
2016-06-05,167.0,153.73116475084723
2016-06-06,168.0,160.67749062279992
2016-06-07,148.0,155.35105717533807
2016-06-08,174.0,158.17551137207408
2016-06-09,146.0,159.86114024891012
2016-06-10,192.0,173.48516660708938
2016-06-11,194.0,160.40734198962298
2016-06-12,191.0,161.03668563520515
2016-06-13,175.0,167.3720357976282
2016-06-14,170.0,159.41913960386475
2016-06-15,168.0,165.23627617115787
2016-06-16,193.0,156.2004753994624
2016-06-17,182.0,172.14456233383083
2016-06-18,184.0,169.77983192010797
2016-06-19,171.0,157.00225343388948
2016-06-20,170.0,165.24130703789368
2016-06-21,188.0,163.5875743654338
2016-06-22,160.0,168.13542898536866
2016-06-23,182.0,167.95669044551622
2016-06-24,194.0,178.38862867327663
2016-06-25,190.0,163.82795334396656
2016-06-26,166.0,160.55466685442696
2016-06-27,167.0,164.19938822300094
2016-06-28,183.0,166.76065483832997
2016-06-29,180.0,167.0286395216491
2016-06-30,204.0,167.0968821182629
2016-07-01,181.0,179.8624780097271
2016-07-02,152.0,180.43448454493262
2016-07-03,163.0,167.14483397534886
2016-07-04,142.0,166.34095805528528
2016-07-05,167.0,171.30459905428592
2016-07-06,172.0,167.91336711218125
2016-07-07,193.0,174.728605104905
2016-07-08,199.0,176.56629161088927
2016-07-09,174.0,171.16034813813826
2016-07-10,163.0,171.26087858296984
2016-07-11,155.0,173.44657908716408
2016-07-12,184.0,172.60093670805247
2016-07-13,170.0,169.1655529788559
2016-07-14,182.0,172.08284431844527
2016-07-15,225.0,179.25900129643102
2016-07-16,179.0,171.58399866257156
2016-07-17,133.0,163.33211137298238
2016-07-18,192.0,171.19258814020384
2016-07-19,193.0,173.40176479743303
2016-07-20,192.0,165.49552145485617
2016-07-21,196.0,183.0885244253641
2016-07-22,181.0,194.89742926348097
2016-07-23,197.0,177.19845372165008
2016-07-24,180.0,160.59860035415792
2016-07-25,198.0,172.97635983679592
2016-07-26,228.0,182.80998354929852
2016-07-27,195.0,177.08680148438256
2016-07-28,167.0,187.08174719961826
2016-07-29,203.0,194.88988412295785
2016-07-30,238.0,187.07125565175934
2016-07-31,237.0,173.45689725943527
2016-08-01,199.0,178.0636508234102
2016-08-02,186.0,187.94225983576666
2016-08-03,185.0,175.88720254615072
2016-08-04,165.0,183.7964451853314
2016-08-05,203.0,184.84491950284394
2016-08-06,190.0,187.30358336456166
2016-08-07,194.0,181.1373235694793
2016-08-08,195.0,188.61455559344196
2016-08-09,152.0,188.27174819627893
2016-08-10,169.0,186.9880788543565
2016-08-11,188.0,177.03543139983785
2016-08-12,205.0,186.4622570311688
2016-08-13,192.0,182.77043099646767
2016-08-14,190.0,187.08687953381897
2016-08-15,199.0,188.74841339375385
2016-08-16,211.0,182.38638197692023
2016-08-17,213.0,188.42987287000517
2016-08-18,198.0,184.69938878671684
2016-08-19,189.0,194.25902317500376
2016-08-20,210.0,189.38487663902023
2016-08-21,170.0,188.2919454213635
2016-08-22,183.0,183.32840201856203
2016-08-23,169.0,188.00907049254593
2016-08-24,195.0,184.65388760349936
2016-08-25,189.0,187.3551988900502
2016-08-26,194.0,189.4425437957513
2016-08-27,207.0,186.34846068197845
2016-08-28,186.0,183.8862986138625
2016-08-29,205.0,185.0891481485291
2016-08-30,187.0,186.97168516371684
2016-08-31,213.0,190.46765342554826
2016-09-01,228.0,191.40279318767986
2016-09-02,196.0,189.19532229858228
2016-09-03,184.0,195.34641226012988
2016-09-04,177.0,183.60230047341756
2016-09-05,178.0,194.20403350185484
2016-09-06,181.0,187.15659311875007
2016-09-07,173.0,189.95620109653663
2016-09-08,204.0,184.53406006174527
2016-09-09,185.0,181.34518377599787
2016-09-10,177.0,184.8147988811106
